0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:31:07 +0300] "GET /persons/ HTTP/1.1" 200 2129
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:31:07 +0300] "GET /persons/js/jquery-3.6.4.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:31:08 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:31:09 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:31:10 +0300] "GET /persons/views/author.jsp HTTP/1.1" 200 6855
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:31:10 +0300] "GET /persons/views/bootstrap.min.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:31:10 +0300] "GET /persons/views/js/jquery.min.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:31:10 +0300] "GET /persons/views/images/icon-delete.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:31:10 +0300] "GET /persons/views/images/icon-edit.png HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:31:10 +0300] "GET /persons/views/js/bootstrap.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:31:10 +0300] "GET /persons/views/images/authors1.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:31:10 +0300] "GET /persons/views/images/book1.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:31:10 +0300] "GET /persons/views/images/icon-delete.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:31:10 +0300] "GET /persons/views/images/icon-edit.png HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:31:10 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:31:12 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:01 +0300] "GET /persons/ HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:01 +0300] "GET /persons/js/jquery-3.6.4.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:02 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:04 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:04 +0300] "GET /persons/views/author.jsp HTTP/1.1" 200 6921
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:04 +0300] "GET /persons/views/css/bootstrap.min.css HTTP/1.1" 404 799
